capture_id,label,label_name,Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SSH,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
C_i1800_j0,0,benign,136.1,6,0.0,8488.775551507792,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1361.0,66.0,577.0,136.1,155.68715425493525,1361.0,0.0001308917999267578,10.0,24238.49
C_i1800_j0,0,benign,151.1,6,0.0,11861.719457013574,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1511.0,66.0,727.0,151.1,198.72214270181368,1511.0,9.367201063368056e-05,10.0,39490.49
C_i1800_j0,0,benign_external,147.8,6,0.0,4421.106777695794,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.0002513196733262804,10.0,25868.96
C_i1800_j0,0,benign_external,147.8,6,0.0,5078.464705170118,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.00021878878275553385,10.0,25868.96
C_i1800_j0,0,benign_external,147.8,6,0.0,5073.550260070158,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.0002190007103814019,10.0,25868.96
C_i1800_j0,0,benign,108.9,6,0.0,10245.002442598925,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1089.0,66.0,306.0,108.9,83.21832730835197,1089.0,0.00010845396253797744,10.0,6925.29
C_i1800_j0,0,benign_external,147.8,6,0.0,4303.174310044116,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.0002582073211669922,10.0,25868.96
C_i1800_j0,0,benign_external,147.8,6,0.0,4239.239943400041,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.0002621014912923177,10.0,25868.96
C_i1800_j0,0,benign_external,140.36363636363637,6,0.0,5420.907531429914,1.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1544.0,66.0,511.0,140.36363636363637,155.14583914806957,1544.0,0.00020291805267333985,11.0,24070.23140495868
C_i1800_j0,0,benign,116.1,6,0.0,5885.916362615773,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1161.0,66.0,377.0,116.1,101.00737596829254,1161.0,0.0001887745327419705,10.0,10202.49
